@relation DatasetNominal

@attribute Checking_status {<0,0<=X<200,'no checking',>=200}
@attribute Credit_History {'critical/other existing credit','existing paid','delayed previously','no credits/all paid','all paid'}
@attribute Purpose {radio/tv,education,furniture/equipment,'new car','used car',business,'domestic appliance',repairs,other,retraining}
@attribute 'Credit Amount' {'between 1001 and 3000','between 3001 and 6000','between 6001 and 9000','between 9001 and 12000','between 12001 and 15000','between 0 and 1000','between 15001 and 18000','larger than 18000'}
@attribute Saving_status {'no known savings',<100,500<=X<1000,>=1000,100<=X<500}
@attribute Employment {>=7,1<=X<4,4<=X<7,unemployed,<1}
@attribute Personal_status {'male single','female div/dep/mar','male div/sep','male mar/wid'}
@attribute Age {'old age','young adult','older adult',adult}
@attribute Job {skilled,'unskilled resident','high qualif/self emp/mgmt','unemp/unskilled non res'}
@attribute Class {good,bad}

@data
0<=X<200,'existing paid',radio/tv,'between 1001 and 3000',<100,1<=X<4,'male single',adult,skilled,good
<0,'delayed previously',business,'between 6001 and 9000',<100,>=7,'male single','old age',skilled,bad
0<=X<200,'existing paid',business,'between 1001 and 3000',>=1000,<1,'male mar/wid','older adult',skilled,good
<0,'existing paid',furniture/equipment,'between 3001 and 6000',<100,1<=X<4,'male single',adult,skilled,good
0<=X<200,'existing paid','new car','between 3001 and 6000',100<=X<500,1<=X<4,'male single',adult,skilled,good
'no checking','critical/other existing credit',business,'between 1001 and 3000','no known savings',>=7,'male single','old age','unskilled resident',good
>=200,'existing paid',furniture/equipment,'between 1001 and 3000',<100,<1,'female div/dep/mar',adult,'high qualif/self emp/mgmt',good
0<=X<200,'critical/other existing credit',radio/tv,'between 3001 and 6000',<100,<1,'male single','young adult','unskilled resident',bad
'no checking','critical/other existing credit',education,'between 6001 and 9000',<100,1<=X<4,'male single',adult,skilled,good
>=200,'existing paid',radio/tv,'between 1001 and 3000',<100,1<=X<4,'male single','older adult',skilled,bad
>=200,'existing paid','domestic appliance','between 1001 and 3000',<100,1<=X<4,'male single','older adult',skilled,good
0<=X<200,'existing paid',radio/tv,'between 0 and 1000',<100,1<=X<4,'male single','young adult',skilled,good
'no checking','existing paid',radio/tv,'between 1001 and 3000',500<=X<1000,>=7,'male single',adult,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',radio/tv,'between 1001 and 3000',500<=X<1000,1<=X<4,'male div/sep',adult,skilled,good
0<=X<200,'delayed previously',repairs,'between 6001 and 9000',<100,1<=X<4,'male single','older adult','unskilled resident',good
<0,'critical/other existing credit','used car','between 6001 and 9000',100<=X<500,4<=X<7,'male mar/wid','young adult',skilled,good
<0,'critical/other existing credit','used car','between 6001 and 9000',<100,>=7,'female div/dep/mar','old age','unskilled resident',bad
'no checking','critical/other existing credit','new car','between 1001 and 3000',<100,<1,'female div/dep/mar',adult,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,'between 1001 and 3000',500<=X<1000,>=7,'male single','older adult',skilled,good
<0,'existing paid','used car','between 1001 and 3000',500<=X<1000,unemployed,'female div/dep/mar','young adult','unemp/unskilled non res',good
'no checking','critical/other existing credit','new car','between 6001 and 9000',<100,1<=X<4,'male single','older adult','unskilled resident',good
'no checking','existing paid',radio/tv,'between 1001 and 3000',100<=X<500,1<=X<4,'female div/dep/mar',adult,skilled,good
0<=X<200,'delayed previously',furniture/equipment,'between 1001 and 3000','no known savings',<1,'male single',adult,'unskilled resident',good
0<=X<200,'delayed previously','used car','between 3001 and 6000',<100,>=7,'male single',adult,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,'between 1001 and 3000',<100,1<=X<4,'male single','young adult',skilled,good
0<=X<200,'delayed previously','new car','between 1001 and 3000',<100,>=7,'male single','old age',skilled,bad
'no checking','all paid','new car','between 0 and 1000','no known savings',1<=X<4,'male single',adult,'unskilled resident',good
0<=X<200,'existing paid',radio/tv,'between 6001 and 9000','no known savings',unemployed,'male single','older adult','high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',radio/tv,'between 9001 and 12000',<100,1<=X<4,'female div/dep/mar',adult,skilled,good
>=200,'existing paid','new car','between 1001 and 3000',<100,>=7,'female div/dep/mar','young adult','high qualif/self emp/mgmt',good
<0,'critical/other existing credit',furniture/equipment,'between 6001 and 9000',<100,<1,'female div/dep/mar','young adult','unskilled resident',bad
0<=X<200,'existing paid',business,'between 1001 and 3000',<100,1<=X<4,'male mar/wid',adult,skilled,good
0<=X<200,'critical/other existing credit',radio/tv,'between 1001 and 3000','no known savings',>=7,'male single','older adult',skilled,good
0<=X<200,'no credits/all paid',business,'between 1001 and 3000',<100,>=7,'male single','old age','high qualif/self emp/mgmt',bad
0<=X<200,'no credits/all paid',business,'between 12001 and 15000',<100,1<=X<4,'male single','young adult',skilled,bad
'no checking','existing paid',repairs,'between 3001 and 6000','no known savings',>=7,'male single','older adult',skilled,good
'no checking','existing paid',radio/tv,'between 1001 and 3000',<100,<1,'female div/dep/mar',adult,skilled,good
0<=X<200,'existing paid','new car','between 1001 and 3000',>=1000,1<=X<4,'male mar/wid','young adult',skilled,good
'no checking','existing paid',radio/tv,'between 1001 and 3000','no known savings',1<=X<4,'female div/dep/mar','young adult',skilled,good
'no checking','existing paid','used car','between 6001 and 9000',<100,1<=X<4,'female div/dep/mar',adult,skilled,good
'no checking','critical/other existing credit',radio/tv,'between 0 and 1000','no known savings',>=7,'male single','older adult','unskilled resident',good
<0,'critical/other existing credit',other,'between 1001 and 3000',<100,>=7,'male single','older adult','high qualif/self emp/mgmt',good
0<=X<200,'critical/other existing credit',business,'between 3001 and 6000',<100,4<=X<7,'female div/dep/mar','older adult','unskilled resident',good
<0,'existing paid',education,'between 1001 and 3000','no known savings',>=7,'male single','older adult','high qualif/self emp/mgmt',bad
<0,'critical/other existing credit','used car','between 1001 and 3000',<100,>=7,'male single','old age','high qualif/self emp/mgmt',good
<0,'existing paid',radio/tv,'between 3001 and 6000',<100,<1,'male single',adult,skilled,bad
0<=X<200,'delayed previously',radio/tv,'between 3001 and 6000',<100,4<=X<7,'male single','older adult',skilled,good
'no checking','no credits/all paid','used car','between 9001 and 12000','no known savings',1<=X<4,'male single','older adult','unskilled resident',good
0<=X<200,'existing paid',furniture/equipment,'between 3001 and 6000',<100,<1,'male mar/wid','young adult',skilled,good
'no checking','existing paid',radio/tv,'between 3001 and 6000','no known savings',<1,'female div/dep/mar','older adult',skilled,bad
'no checking','existing paid',radio/tv,'between 1001 and 3000',500<=X<1000,>=7,'male single','older adult',skilled,good
'no checking','existing paid',business,'between 1001 and 3000',100<=X<500,1<=X<4,'female div/dep/mar','young adult','unskilled resident',good
<0,'existing paid',other,'between 1001 and 3000',<100,>=7,'female div/dep/mar','old age','unskilled resident',good
<0,'existing paid',radio/tv,'between 1001 and 3000',<100,>=7,'male single','older adult','unskilled resident',good
'no checking','critical/other existing credit',business,'between 1001 and 3000',<100,1<=X<4,'female div/dep/mar',adult,'high qualif/self emp/mgmt',good
0<=X<200,'critical/other existing credit',furniture/equipment,'between 1001 and 3000',<100,<1,'female div/dep/mar',adult,skilled,good
0<=X<200,'existing paid',education,'between 12001 and 15000',100<=X<500,1<=X<4,'male single','older adult',skilled,bad
<0,'existing paid','new car','between 1001 and 3000',100<=X<500,4<=X<7,'male single',adult,'high qualif/self emp/mgmt',good
<0,'no credits/all paid',repairs,'between 1001 and 3000',<100,4<=X<7,'male single',adult,skilled,bad
'no checking','critical/other existing credit',radio/tv,'between 0 and 1000',<100,>=7,'male single','old age',skilled,good
<0,'critical/other existing credit','used car','between 1001 and 3000',<100,>=7,'male single','older adult',skilled,good
'no checking','critical/other existing credit',radio/tv,'between 0 and 1000','no known savings',>=7,'female div/dep/mar',adult,'unskilled resident',bad
>=200,'critical/other existing credit',furniture/equipment,'between 3001 and 6000','no known savings',>=7,'male single','young adult',skilled,good
0<=X<200,'existing paid','new car','between 1001 and 3000',>=1000,>=7,'male single','older adult',skilled,good
0<=X<200,'no credits/all paid',business,'between 15001 and 18000',<100,<1,'male single','old age',skilled,bad
'no checking','critical/other existing credit',education,'between 1001 and 3000','no known savings',4<=X<7,'female div/dep/mar','old age',skilled,good
0<=X<200,'existing paid',business,'between 1001 and 3000',100<=X<500,1<=X<4,'male single',adult,skilled,good
0<=X<200,'critical/other existing credit',radio/tv,'between 1001 and 3000',<100,>=7,'male single','older adult',skilled,good
0<=X<200,'delayed previously','used car','between 6001 and 9000','no known savings',4<=X<7,'male single','older adult','high qualif/self emp/mgmt',good
'no checking','existing paid','new car','between 1001 and 3000',100<=X<500,>=7,'male mar/wid','older adult','unskilled resident',good
0<=X<200,'existing paid',radio/tv,'between 1001 and 3000',<100,4<=X<7,'male single','young adult',skilled,good
'no checking','delayed previously',radio/tv,'between 0 and 1000',<100,1<=X<4,'female div/dep/mar','young adult',skilled,good
0<=X<200,'critical/other existing credit',furniture/equipment,'between 1001 and 3000',<100,4<=X<7,'male single',adult,skilled,good
'no checking','existing paid','used car','between 1001 and 3000','no known savings',<1,'male mar/wid',adult,skilled,good
0<=X<200,'critical/other existing credit',other,'between 9001 and 12000',<100,1<=X<4,'male single','older adult','high qualif/self emp/mgmt',bad
'no checking','all paid','new car','between 6001 and 9000',<100,>=7,'male single','older adult','high qualif/self emp/mgmt',bad
0<=X<200,'existing paid','new car','between 6001 and 9000',<100,4<=X<7,'male single',adult,skilled,good
<0,'existing paid',furniture/equipment,'between 6001 and 9000','no known savings',<1,'female div/dep/mar',adult,skilled,good
0<=X<200,'existing paid',business,'between 1001 and 3000',500<=X<1000,>=7,'male mar/wid',adult,skilled,good
0<=X<200,'delayed previously',business,'between 1001 and 3000',100<=X<500,>=7,'male div/sep',adult,skilled,good
>=200,'existing paid',education,'between 0 and 1000',<100,<1,'female div/dep/mar','young adult',skilled,good
0<=X<200,'existing paid','new car','between 6001 and 9000',<100,4<=X<7,'male single',adult,'unskilled resident',good
'no checking','critical/other existing credit','new car','between 6001 and 9000',<100,1<=X<4,'female div/dep/mar','young adult',skilled,bad
<0,'existing paid',radio/tv,'between 1001 and 3000',500<=X<1000,>=7,'male mar/wid',adult,skilled,good
'no checking','critical/other existing credit',radio/tv,'between 3001 and 6000','no known savings',>=7,'male single','older adult',skilled,good
<0,'existing paid',radio/tv,'between 6001 and 9000','no known savings',4<=X<7,'female div/dep/mar',adult,'high qualif/self emp/mgmt',bad
<0,'critical/other existing credit',furniture/equipment,'between 1001 and 3000','no known savings',<1,'female div/dep/mar',adult,skilled,good
<0,'critical/other existing credit',furniture/equipment,'between 3001 and 6000',500<=X<1000,1<=X<4,'female div/dep/mar','young adult',skilled,bad
0<=X<200,'critical/other existing credit','new car','between 1001 and 3000',500<=X<1000,4<=X<7,'male div/sep','older adult','high qualif/self emp/mgmt',good
<0,'existing paid',radio/tv,'between 1001 and 3000',<100,1<=X<4,'female div/dep/mar','young adult',skilled,bad
'no checking','critical/other existing credit','used car','between 3001 and 6000',<100,>=7,'female div/dep/mar','older adult','high qualif/self emp/mgmt',good
'no checking','existing paid',furniture/equipment,'between 1001 and 3000',<100,1<=X<4,'male single','young adult','unskilled resident',good
>=200,'critical/other existing credit','new car','between 0 and 1000',<100,>=7,'male single','old age',skilled,good
0<=X<200,'existing paid',furniture/equipment,'between 1001 and 3000','no known savings',<1,'female div/dep/mar',adult,skilled,bad
<0,'critical/other existing credit','new car','between 1001 and 3000',<100,1<=X<4,'male single',adult,skilled,good
<0,'existing paid',radio/tv,'between 0 and 1000',<100,1<=X<4,'male mar/wid','older adult','unskilled resident',good
0<=X<200,'existing paid',repairs,'between 0 and 1000',<100,1<=X<4,'male single',adult,skilled,bad
0<=X<200,'critical/other existing credit','used car','between 1001 and 3000',<100,unemployed,'male single',adult,'high qualif/self emp/mgmt',good
<0,'critical/other existing credit','new car','between 3001 and 6000',<100,1<=X<4,'female div/dep/mar',adult,skilled,bad
0<=X<200,'existing paid','new car','between 6001 and 9000','no known savings',4<=X<7,'female div/dep/mar','young adult',skilled,good
<0,'delayed previously',education,'between 6001 and 9000',<100,1<=X<4,'male single',adult,skilled,bad
'no checking','existing paid',furniture/equipment,'between 1001 and 3000',<100,<1,'male single',adult,'unskilled resident',good
'no checking','existing paid',furniture/equipment,'between 1001 and 3000',<100,1<=X<4,'male single','older adult',skilled,good
'no checking','existing paid',radio/tv,'between 9001 and 12000',100<=X<500,4<=X<7,'female div/dep/mar','young adult',skilled,good
'no checking','critical/other existing credit',radio/tv,'between 1001 and 3000','no known savings',>=7,'female div/dep/mar','older adult',skilled,good
'no checking','delayed previously','used car','between 6001 and 9000',>=1000,1<=X<4,'male single',adult,skilled,good
0<=X<200,'existing paid',radio/tv,'between 0 and 1000',500<=X<1000,1<=X<4,'male single','old age','unskilled resident',bad
0<=X<200,'critical/other existing credit',radio/tv,'between 1001 and 3000','no known savings',4<=X<7,'male single',adult,skilled,good
>=200,'existing paid',radio/tv,'between 1001 and 3000',<100,1<=X<4,'female div/dep/mar','older adult','unskilled resident',good
>=200,'existing paid','new car','between 0 and 1000',>=1000,<1,'male mar/wid',adult,'unemp/unskilled non res',good
0<=X<200,'existing paid',radio/tv,'between 3001 and 6000',<100,<1,'female div/dep/mar',adult,'high qualif/self emp/mgmt',good
<0,'existing paid',radio/tv,'between 3001 and 6000',<100,1<=X<4,'male single',adult,'high qualif/self emp/mgmt',good
<0,'existing paid',furniture/equipment,'between 1001 and 3000',<100,1<=X<4,'male single','young adult',skilled,bad
'no checking','critical/other existing credit',furniture/equipment,'between 1001 and 3000',<100,<1,'female div/dep/mar','young adult',skilled,good
0<=X<200,'all paid',business,'between 3001 and 6000',100<=X<500,4<=X<7,'male single',adult,skilled,good
<0,'critical/other existing credit','new car','between 0 and 1000',<100,>=7,'female div/dep/mar','older adult',skilled,good
'no checking','critical/other existing credit','new car','between 0 and 1000',100<=X<500,4<=X<7,'female div/dep/mar','older adult',skilled,good
<0,'critical/other existing credit',furniture/equipment,'between 3001 and 6000',<100,1<=X<4,'male single',adult,skilled,good
'no checking','critical/other existing credit',radio/tv,'between 1001 and 3000',>=1000,>=7,'male single','older adult',skilled,good
'no checking','existing paid',radio/tv,'between 1001 and 3000',100<=X<500,>=7,'male single','older adult',skilled,good
'no checking','existing paid',radio/tv,'between 1001 and 3000',<100,1<=X<4,'male single','older adult',skilled,good
>=200,'existing paid',radio/tv,'between 3001 and 6000',<100,1<=X<4,'male single','young adult',skilled,good
0<=X<200,'critical/other existing credit','used car','between 6001 and 9000',>=1000,>=7,'female div/dep/mar',adult,skilled,good
0<=X<200,'delayed previously',business,'between 6001 and 9000',100<=X<500,4<=X<7,'male single','older adult','high qualif/self emp/mgmt',good
<0,'existing paid',furniture/equipment,'between 1001 and 3000',<100,1<=X<4,'female div/dep/mar','young adult',skilled,bad
<0,'critical/other existing credit',repairs,'between 1001 and 3000',100<=X<500,>=7,'male single','older adult',skilled,good
<0,'all paid',retraining,'between 0 and 1000',<100,>=7,'male mar/wid','older adult','unskilled resident',good
0<=X<200,'existing paid','new car','between 3001 and 6000',100<=X<500,4<=X<7,'male single','older adult',skilled,good
'no checking','critical/other existing credit',radio/tv,'between 1001 and 3000','no known savings',1<=X<4,'male single',adult,'unskilled resident',good
'no checking','critical/other existing credit',radio/tv,'between 1001 and 3000',100<=X<500,>=7,'male single','older adult',skilled,good
'no checking','critical/other existing credit','new car','between 1001 and 3000',<100,<1,'female div/dep/mar',adult,skilled,good
'no checking','existing paid','domestic appliance','between 1001 and 3000',500<=X<1000,4<=X<7,'male single','older adult',skilled,good
0<=X<200,'existing paid','new car','between 6001 and 9000',<100,unemployed,'male single','old age','high qualif/self emp/mgmt',good
'no checking','existing paid','new car','between 0 and 1000',500<=X<1000,>=7,'male single','older adult',skilled,good
'no checking','existing paid',furniture/equipment,'between 1001 and 3000',500<=X<1000,1<=X<4,'male single',adult,skilled,good
<0,'existing paid',furniture/equipment,'between 1001 and 3000',<100,unemployed,'female div/dep/mar',adult,skilled,bad
0<=X<200,'existing paid',furniture/equipment,'between 1001 and 3000',>=1000,<1,'female div/dep/mar','young adult',skilled,good
'no checking','existing paid',furniture/equipment,'between 3001 and 6000',<100,4<=X<7,'female div/dep/mar','young adult',skilled,good
0<=X<200,'critical/other existing credit',business,'between 1001 and 3000',<100,>=7,'male div/sep',adult,skilled,bad
<0,'no credits/all paid','new car','between 0 and 1000',<100,>=7,'male single',adult,skilled,bad
'no checking','existing paid',furniture/equipment,'between 0 and 1000',<100,1<=X<4,'female div/dep/mar',adult,skilled,good
0<=X<200,'delayed previously',furniture/equipment,'between 1001 and 3000',<100,unemployed,'female div/dep/mar',adult,'high qualif/self emp/mgmt',bad
0<=X<200,'existing paid',radio/tv,'between 1001 and 3000',<100,1<=X<4,'male single',adult,skilled,good
<0,'delayed previously',education,'between 3001 and 6000',<100,<1,'male single',adult,skilled,bad
'no checking','all paid','used car','between 6001 and 9000','no known savings',unemployed,'female div/dep/mar','older adult','high qualif/self emp/mgmt',bad
<0,'existing paid',furniture/equipment,'between 1001 and 3000',<100,1<=X<4,'male div/sep','older adult',skilled,good
<0,'critical/other existing credit',radio/tv,'between 0 and 1000',500<=X<1000,>=7,'male single','older adult',skilled,good
'no checking','existing paid',radio/tv,'between 1001 and 3000',<100,4<=X<7,'male single',adult,'high qualif/self emp/mgmt',good
<0,'critical/other existing credit','new car','between 0 and 1000',<100,>=7,'male single','old age',skilled,good
'no checking','delayed previously',business,'between 9001 and 12000',<100,<1,'male div/sep',adult,skilled,bad
0<=X<200,'delayed previously',business,'between 3001 and 6000',<100,1<=X<4,'male div/sep',adult,'high qualif/self emp/mgmt',bad
<0,'all paid','new car','between 1001 and 3000','no known savings',1<=X<4,'male single','older adult','unskilled resident',bad
'no checking','critical/other existing credit',furniture/equipment,'between 3001 and 6000',>=1000,1<=X<4,'male single','older adult',skilled,good
0<=X<200,'critical/other existing credit','new car','between 0 and 1000',<100,>=7,'male single','older adult',skilled,bad
'no checking','critical/other existing credit',radio/tv,'between 1001 and 3000',<100,1<=X<4,'male single',adult,skilled,good
0<=X<200,'all paid','used car','between 3001 and 6000',<100,>=7,'female div/dep/mar','old age','high qualif/self emp/mgmt',bad
0<=X<200,'critical/other existing credit','new car','between 1001 and 3000',<100,unemployed,'male single','old age','unemp/unskilled non res',good
<0,'existing paid',radio/tv,'between 0 and 1000',100<=X<500,4<=X<7,'male mar/wid','young adult',skilled,bad
0<=X<200,'no credits/all paid',furniture/equipment,'between 3001 and 6000',<100,1<=X<4,'female div/dep/mar',adult,skilled,good
'no checking','existing paid',business,'between 3001 and 6000',>=1000,1<=X<4,'male single','older adult','high qualif/self emp/mgmt',bad
0<=X<200,'no credits/all paid',business,'between 3001 and 6000',100<=X<500,4<=X<7,'male single',adult,'unskilled resident',bad
0<=X<200,'existing paid',business,'between 3001 and 6000',<100,1<=X<4,'male single','older adult',skilled,bad
'no checking','existing paid',radio/tv,'between 1001 and 3000',<100,4<=X<7,'male mar/wid',adult,skilled,good
0<=X<200,'existing paid',radio/tv,'between 3001 and 6000',100<=X<500,1<=X<4,'male single','young adult',skilled,bad
0<=X<200,'critical/other existing credit',education,'between 1001 and 3000',<100,>=7,'female div/dep/mar',adult,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',radio/tv,'between 1001 and 3000',<100,1<=X<4,'female div/dep/mar',adult,skilled,good
0<=X<200,'existing paid',furniture/equipment,'between 0 and 1000',100<=X<500,<1,'female div/dep/mar',adult,skilled,bad
0<=X<200,'existing paid','used car','between 1001 and 3000','no known savings',>=7,'male single','older adult',skilled,good
0<=X<200,'delayed previously',furniture/equipment,'between 3001 and 6000',<100,>=7,'male div/sep','older adult','high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',education,'between 0 and 1000',500<=X<1000,>=7,'male single','older adult',skilled,good
<0,'existing paid','new car','between 1001 and 3000',<100,1<=X<4,'male mar/wid',adult,'unskilled resident',good
'no checking','delayed previously',business,'between 3001 and 6000',<100,4<=X<7,'male single',adult,skilled,good
<0,'existing paid',retraining,'between 0 and 1000',<100,4<=X<7,'male mar/wid','young adult',skilled,bad
'no checking','critical/other existing credit','new car','between 1001 and 3000',<100,>=7,'male single','older adult','unskilled resident',good
<0,'critical/other existing credit','used car','between 9001 and 12000',<100,>=7,'male single','older adult','high qualif/self emp/mgmt',good
'no checking','critical/other existing credit',furniture/equipment,'between 1001 and 3000',<100,>=7,'male single','older adult',skilled,good
0<=X<200,'critical/other existing credit','domestic appliance','between 1001 and 3000',<100,4<=X<7,'male single',adult,skilled,good
<0,'existing paid',business,'between 6001 and 9000',<100,1<=X<4,'male mar/wid','young adult','unskilled resident',good
'no checking','existing paid','used car','between 1001 and 3000',>=1000,4<=X<7,'male single','older adult',skilled,good
'no checking','critical/other existing credit',radio/tv,'between 3001 and 6000','no known savings',1<=X<4,'male single',adult,skilled,good
'no checking','existing paid',radio/tv,'between 3001 and 6000','no known savings',>=7,'female div/dep/mar','older adult','unskilled resident',good
<0,'no credits/all paid',business,'between 3001 and 6000',<100,unemployed,'male single','older adult',skilled,bad
>=200,'delayed previously',business,'between 1001 and 3000',<100,>=7,'male single','old age','high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',radio/tv,'between 3001 and 6000','no known savings',>=7,'male single','older adult',skilled,good
0<=X<200,'critical/other existing credit',retraining,'between 0 and 1000','no known savings',4<=X<7,'female div/dep/mar','older adult','unskilled resident',good
<0,'no credits/all paid',business,'between 3001 and 6000',<100,4<=X<7,'male single',adult,skilled,good
>=200,'existing paid',radio/tv,'between 3001 and 6000',<100,1<=X<4,'male single','young adult',skilled,good
<0,'existing paid',furniture/equipment,'between 3001 and 6000',<100,1<=X<4,'male div/sep','young adult','unskilled resident',good
'no checking','existing paid','new car','between 1001 and 3000',<100,1<=X<4,'female div/dep/mar','old age',skilled,good
0<=X<200,'existing paid',radio/tv,'between 0 and 1000',<100,<1,'male mar/wid',adult,'unskilled resident',good
<0,'existing paid',education,'between 1001 and 3000','no known savings',1<=X<4,'female div/dep/mar','young adult',skilled,good
'no checking','existing paid',radio/tv,'between 0 and 1000',<100,1<=X<4,'male single',adult,skilled,good
'no checking','delayed previously',business,'between 1001 and 3000','no known savings',1<=X<4,'male single',adult,skilled,good
'no checking','existing paid','used car','between 3001 and 6000',<100,1<=X<4,'male single',adult,skilled,good
'no checking','no credits/all paid',repairs,'between 1001 and 3000',<100,1<=X<4,'male single',adult,skilled,good
0<=X<200,'existing paid',radio/tv,'between 9001 and 12000',>=1000,4<=X<7,'male single',adult,skilled,bad
<0,'existing paid',furniture/equipment,'between 6001 and 9000',<100,>=7,'male single','older adult','high qualif/self emp/mgmt',bad
'no checking','existing paid',radio/tv,'between 1001 and 3000',<100,4<=X<7,'male single','young adult',skilled,bad
<0,'existing paid',furniture/equipment,'between 3001 and 6000',<100,<1,'male single','young adult',skilled,good
>=200,'existing paid',radio/tv,'between 3001 and 6000',<100,1<=X<4,'male single',adult,skilled,bad
'no checking','existing paid','new car','between 1001 and 3000',500<=X<1000,>=7,'male single','older adult','unskilled resident',good
'no checking','existing paid',radio/tv,'between 1001 and 3000',100<=X<500,4<=X<7,'male single',adult,skilled,good
0<=X<200,'existing paid',radio/tv,'between 0 and 1000',<100,1<=X<4,'male mar/wid','young adult','unskilled resident',good
'no checking','critical/other existing credit',radio/tv,'between 1001 and 3000',<100,4<=X<7,'male single','older adult','unskilled resident',good
<0,'existing paid',radio/tv,'between 1001 and 3000',<100,unemployed,'male single',adult,'high qualif/self emp/mgmt',bad
0<=X<200,'existing paid','new car','between 12001 and 15000','no known savings',unemployed,'male single','young adult','unemp/unskilled non res',bad
0<=X<200,'existing paid',business,'between 1001 and 3000',100<=X<500,>=7,'male div/sep','old age','unskilled resident',bad
'no checking','critical/other existing credit',radio/tv,'between 1001 and 3000',<100,1<=X<4,'female div/dep/mar',adult,skilled,good
<0,'existing paid',radio/tv,'between 1001 and 3000',<100,>=7,'male single','older adult',skilled,good
